"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Code\2024\blank_app\src\components\LanguageSelector.tsx", "TypeScript JSX", 0, 0, 44, 0, 6, 50
"c:\Code\2024\blank_app\src\components\LanguageTextInput.tsx", "TypeScript JSX", 0, 0, 76, 0, 9, 85
"c:\Code\2024\blank_app\src\components\PageWrapper.tsx", "TypeScript JSX", 0, 0, 102, 2, 9, 113
"c:\Code\2024\blank_app\src\components\ProfileAvatar.tsx", "TypeScript JSX", 0, 0, 254, 9, 22, 285
"c:\Code\2024\blank_app\src\components\SendMailForm.tsx", "TypeScript JSX", 0, 0, 104, 0, 10, 114
"c:\Code\2024\blank_app\src\components\SocialLink.tsx", "TypeScript JSX", 0, 0, 21, 1, 5, 27
"c:\Code\2024\blank_app\src\components\SocialLinks.tsx", "TypeScript JSX", 0, 0, 48, 0, 6, 54
"c:\Code\2024\blank_app\src\components\SortableItem.tsx", "TypeScript JSX", 0, 0, 37, 0, 6, 43
"c:\Code\2024\blank_app\src\components\UserAvatar.tsx", "TypeScript JSX", 0, 0, 91, 0, 8, 99
"c:\Code\2024\blank_app\src\components\forms\NewsletterForm.tsx", "TypeScript JSX", 0, 0, 234, 21, 18, 273
"c:\Code\2024\blank_app\src\components\forms\ProfileUpdateForm.tsx", "TypeScript JSX", 0, 0, 114, 0, 17, 131
"c:\Code\2024\blank_app\src\components\forms\RoleForm.tsx", "TypeScript JSX", 0, 0, 319, 18, 25, 362
"c:\Code\2024\blank_app\src\components\forms\SetupForm.tsx", "TypeScript JSX", 0, 0, 242, 0, 21, 263
"c:\Code\2024\blank_app\src\components\forms\UserForm.tsx", "TypeScript JSX", 0, 0, 282, 9, 23, 314
"c:\Code\2024\blank_app\src\components\inputs\FileSelectionModal.tsx", "TypeScript JSX", 0, 0, 197, 6, 20, 223
"c:\Code\2024\blank_app\src\components\inputs\ImageCropper.tsx", "TypeScript JSX", 0, 0, 146, 21, 24, 191
"c:\Code\2024\blank_app\src\components\inputs\PublicAPIDynamicDropdown.tsx", "TypeScript JSX", 0, 0, 88, 0, 11, 99
"c:\Code\2024\blank_app\src\components\inputs\PublicAPIDynamicMultiSelect.tsx", "TypeScript JSX", 0, 0, 202, 3, 18, 223
"c:\Code\2024\blank_app\src\components\inputs\RichTextEditor.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Code\2024\blank_app\src\components\inputs\RichTextEditor.tsx", "TypeScript JSX", 0, 0, 26, 0, 5, 31
"c:\Code\2024\blank_app\src\components\inputs\UserSelector.tsx", "TypeScript JSX", 0, 0, 19, 0, 4, 23
"c:\Code\2024\blank_app\src\components\inputs\standalone\ImageSelection.tsx", "TypeScript JSX", 0, 0, 78, 1, 11, 90
"c:\Code\2024\blank_app\src\components\inputs\standalone\RoleSelection.tsx", "TypeScript JSX", 0, 0, 19, 0, 4, 23
"c:\Code\2024\blank_app\src\components\loaders\InlineLoader.tsx", "TypeScript JSX", 0, 0, 47, 0, 7, 54
"c:\Code\2024\blank_app\src\components\loaders\LoadingSpin.tsx", "TypeScript JSX", 0, 0, 25, 0, 5, 30
"c:\Code\2024\blank_app\src\components\loaders\LoadingSpinner.tsx", "TypeScript JSX", 0, 0, 34, 0, 5, 39
"c:\Code\2024\blank_app\src\components\loaders\ProtectedPage.tsx", "TypeScript JSX", 0, 0, 9, 0, 5, 14
"c:\Code\2024\blank_app\src\components\loaders\SubLoader.tsx", "TypeScript JSX", 0, 0, 27, 0, 4, 31
"c:\Code\2024\blank_app\src\components\sections\AdCard.tsx", "TypeScript JSX", 0, 0, 130, 5, 11, 146
"c:\Code\2024\blank_app\src\components\sections\AdCards.tsx", "TypeScript JSX", 0, 0, 53, 0, 3, 56
"c:\Code\2024\blank_app\src\components\sections\ContactUsSection.tsx", "TypeScript JSX", 0, 0, 135, 3, 11, 149
"c:\Code\2024\blank_app\src\components\sections\InfoCards.tsx", "TypeScript JSX", 0, 0, 115, 6, 10, 131
"c:\Code\2024\blank_app\src\components\sections\ReviewsSection.tsx", "TypeScript JSX", 0, 0, 117, 0, 9, 126
"c:\Code\2024\blank_app\src\components\sections\TeamSection.tsx", "TypeScript JSX", 0, 0, 128, 0, 15, 143
"c:\Code\2024\blank_app\src\components\sections\Testimonials.tsx", "TypeScript JSX", 0, 0, 79, 0, 7, 86
"c:\Code\2024\blank_app\src\config\CMS\pages\ABOUT_PAGE_SETTINGS.ts", "TypeScript", 212, 0, 0, 0, 7, 219
"c:\Code\2024\blank_app\src\config\CMS\pages\HOME_PAGE_SETTINGS.ts", "TypeScript", 279, 0, 0, 0, 15, 294
"c:\Code\2024\blank_app\src\config\CMS\pages\SERVICES_PAGE_SETTINGS.ts", "TypeScript", 96, 0, 0, 0, 6, 102
"c:\Code\2024\blank_app\src\config\CMS\pages\TEAM_PAGE_SETTINGS.tsx", "TypeScript JSX", 0, 0, 71, 0, 6, 77
"c:\Code\2024\blank_app\src\config\CMS\pages\pageKeys.ts", "TypeScript", 63, 0, 0, 0, 12, 75
"c:\Code\2024\blank_app\src\config\CMS\settings\index.ts", "TypeScript", 184, 0, 0, 0, 26, 210
"c:\Code\2024\blank_app\src\config\CMS\settings\keys\DESIGN_SCHEMA_KEYS.ts", "TypeScript", 34, 0, 0, 0, 6, 40
"c:\Code\2024\blank_app\src\config\CMS\settings\keys\FIREBASE_SETTINGS_KEYS.ts", "TypeScript", 108, 0, 0, 0, 4, 112
"c:\Code\2024\blank_app\src\config\CMS\settings\keys\GLOBAL_SETTINGS_KEYS.ts", "TypeScript", 37, 0, 0, 0, 4, 41
"c:\Code\2024\blank_app\src\config\CMS\settings\keys\LANGUAGE_SETTINGS_KEYS.ts", "TypeScript", 15, 0, 0, 0, 4, 19
"c:\Code\2024\blank_app\src\config\CMS\settings\keys\MAIL_KEYS.ts", "TypeScript", 86, 0, 0, 0, 4, 90
"c:\Code\2024\blank_app\src\config\CMS\settings\keys\MESSAGING_SERVICE_KEYS.ts", "TypeScript", 47, 0, 0, 0, 4, 51
"c:\Code\2024\blank_app\src\config\CMS\settings\keys\PUSHER_SETTINGS_KEYS.ts", "TypeScript", 50, 0, 0, 0, 5, 55
"c:\Code\2024\blank_app\src\config\CMS\settings\keys\SEO_SETTINGS_KEYS.ts", "TypeScript", 42, 0, 0, 0, 4, 46
"c:\Code\2024\blank_app\src\config\CMS\settings\keys\SOCIAL_MEDIA_KEYS.ts", "TypeScript", 204, 0, 0, 1, 4, 209
"c:\Code\2024\blank_app\src\config\CMS\settings\settingKeys.ts", "TypeScript", 119, 0, 0, 0, 17, 136
"c:\Code\2024\blank_app\src\config\navigations\IconMapper.tsx", "TypeScript JSX", 0, 0, 43, 0, 10, 53
"c:\Code\2024\blank_app\src\config\navigations\menu.ts", "TypeScript", 153, 0, 0, 0, 5, 158
"c:\Code\2024\blank_app\src\config\navigations\navigationMenu.tsx", "TypeScript JSX", 0, 0, 110, 0, 12, 122
"c:\Code\2024\blank_app\src\config\permissions.ts", "TypeScript", 179, 0, 0, 2, 18, 199
"c:\Code\2024\blank_app\src\config\routes.ts", "TypeScript", 250, 0, 0, 0, 18, 268
"c:\Code\2024\blank_app\src\contexts\FileContext.tsx", "TypeScript JSX", 0, 0, 49, 6, 10, 65
"c:\Code\2024\blank_app\src\contexts\LanguageContext.tsx", "TypeScript JSX", 0, 0, 18, 0, 4, 22
"c:\Code\2024\blank_app\src\contexts\LayoutContext.tsx", "TypeScript JSX", 0, 0, 18, 0, 5, 23
"c:\Code\2024\blank_app\src\contexts\SettingsContext.tsx", "TypeScript JSX", 0, 0, 16, 0, 4, 20
"c:\Code\2024\blank_app\src\contexts\UserContext.tsx", "TypeScript JSX", 0, 0, 14, 0, 4, 18
"c:\Code\2024\blank_app\src\db\index.ts", "TypeScript", 47, 0, 0, 0, 12, 59
"c:\Code\2024\blank_app\src\hooks\useFetchFiles.ts", "TypeScript", 103, 0, 0, 0, 11, 114
"c:\Code\2024\blank_app\src\hooks\useFile.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\Code\2024\blank_app\src\hooks\useFileModal.ts", "TypeScript", 43, 0, 0, 3, 6, 52
"c:\Code\2024\blank_app\src\hooks\useFileUpload.ts", "TypeScript", 156, 0, 0, 0, 32, 188
"c:\Code\2024\blank_app\src\hooks\useFirebaseConfig.ts", "TypeScript", 37, 0, 0, 0, 6, 43
"c:\Code\2024\blank_app\src\hooks\useLanguage.tsx", "TypeScript JSX", 0, 0, 17, 0, 3, 20
"c:\Code\2024\blank_app\src\hooks\useLayout.ts", "TypeScript", 10, 0, 0, 0, 3, 13
"c:\Code\2024\blank_app\src\hooks\useSettings.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\Code\2024\blank_app\src\hooks\useUser.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\Code\2024\blank_app\src\layouts\DashboardLayout.tsx", "TypeScript JSX", 0, 0, 143, 9, 9, 161
"c:\Code\2024\blank_app\src\layouts\MainLayout.tsx", "TypeScript JSX", 0, 0, 144, 0, 17, 161
"c:\Code\2024\blank_app\src\layouts\OverlayBar.tsx", "TypeScript JSX", 0, 0, 90, 0, 10, 100
"c:\Code\2024\blank_app\src\middlewares\authMiddleware.ts", "TypeScript", 84, 0, 0, 0, 13, 97
"c:\Code\2024\blank_app\src\middlewares\verifyServerAuth.ts", "TypeScript", 58, 0, 0, 0, 14, 72
"c:\Code\2024\blank_app\src\models\CacheModel.ts", "TypeScript", 13, 0, 0, 0, 3, 16
"c:\Code\2024\blank_app\src\models\FileModel.ts", "TypeScript", 85, 0, 0, 0, 12, 97
"c:\Code\2024\blank_app\src\models\InquiryModel.ts", "TypeScript", 81, 0, 0, 0, 16, 97
"c:\Code\2024\blank_app\src\models\Newsletter.ts", "TypeScript", 61, 0, 0, 0, 11, 72
"c:\Code\2024\blank_app\src\models\PageModel.ts", "TypeScript", 19, 0, 0, 0, 8, 27
"c:\Code\2024\blank_app\src\models\RoleModel.ts", "TypeScript", 44, 0, 0, 0, 8, 52
"c:\Code\2024\blank_app\src\models\SettingModel.ts", "TypeScript", 23, 0, 0, 0, 8, 31
"c:\Code\2024\blank_app\src\models\UserModel.ts", "TypeScript", 72, 0, 0, 0, 14, 86
"c:\Code\2024\blank_app\src\models\Users\DeviceToken.ts", "TypeScript", 17, 0, 0, 0, 4, 21
"c:\Code\2024\blank_app\src\models\constants.ts", "TypeScript", 1, 0, 0, 1, 1, 3
"c:\Code\2024\blank_app\src\models\index.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"c:\Code\2024\blank_app\src\providers\AppProvider.tsx", "TypeScript JSX", 0, 0, 31, 0, 7, 38
"c:\Code\2024\blank_app\src\providers\CustomConfigProvider.tsx", "TypeScript JSX", 0, 0, 34, 0, 7, 41
"c:\Code\2024\blank_app\src\providers\FileProvider.tsx", "TypeScript JSX", 0, 0, 103, 0, 13, 116
"c:\Code\2024\blank_app\src\providers\LanguageProvider.tsx", "TypeScript JSX", 0, 0, 45, 0, 9, 54
"c:\Code\2024\blank_app\src\providers\LayoutProvider.tsx", "TypeScript JSX", 0, 0, 53, 0, 12, 65
"c:\Code\2024\blank_app\src\providers\PusherProvider.tsx", "TypeScript JSX", 0, 0, 50, 0, 9, 59
"c:\Code\2024\blank_app\src\providers\SettingsProvider.tsx", "TypeScript JSX", 0, 0, 86, 0, 14, 100
"c:\Code\2024\blank_app\src\providers\UserProvider.tsx", "TypeScript JSX", 0, 0, 227, 2, 22, 251
"c:\Code\2024\blank_app\src\repositories\CacheRepository.ts", "TypeScript", 32, 0, 0, 0, 9, 41
"c:\Code\2024\blank_app\src\repositories\FileRepository.ts", "TypeScript", 144, 0, 0, 0, 24, 168
"c:\Code\2024\blank_app\src\repositories\InquiryRepository.ts", "TypeScript", 118, 0, 0, 0, 22, 140
"c:\Code\2024\blank_app\src\repositories\NewsletterRepository.ts", "TypeScript", 159, 0, 0, 1, 15, 175
"c:\Code\2024\blank_app\src\repositories\PageRepository.ts", "TypeScript", 84, 0, 0, 0, 17, 101
"c:\Code\2024\blank_app\src\repositories\RoleRepository.ts", "TypeScript", 95, 0, 0, 5, 19, 119
"c:\Code\2024\blank_app\src\repositories\SettingRepository.ts", "TypeScript", 114, 0, 0, 0, 20, 134
"c:\Code\2024\blank_app\src\repositories\UserRepository.ts", "TypeScript", 176, 0, 0, 0, 34, 210
"c:\Code\2024\blank_app\src\repositories\index.ts", "TypeScript", 27, 0, 0, 0, 5, 32
"c:\Code\2024\blank_app\src\router\LayoutRouter.tsx", "TypeScript JSX", 0, 0, 104, 0, 19, 123
"c:\Code\2024\blank_app\src\services\FileService.ts", "TypeScript", 196, 0, 0, 0, 44, 240
"c:\Code\2024\blank_app\src\services\InquiryService.ts", "TypeScript", 53, 0, 0, 0, 11, 64
"c:\Code\2024\blank_app\src\services\MailService.ts", "TypeScript", 84, 0, 0, 0, 9, 93
"c:\Code\2024\blank_app\src\services\NewsletterService.ts", "TypeScript", 120, 0, 0, 0, 14, 134
"c:\Code\2024\blank_app\src\services\PageService.ts", "TypeScript", 24, 0, 0, 0, 7, 31
"c:\Code\2024\blank_app\src\services\RoleService.ts", "TypeScript", 70, 0, 0, 0, 16, 86
"c:\Code\2024\blank_app\src\services\SettingService.ts", "TypeScript", 29, 0, 0, 0, 12, 41
"c:\Code\2024\blank_app\src\services\UserService.ts", "TypeScript", 231, 0, 0, 0, 42, 273
"c:\Code\2024\blank_app\src\styles\carousel.css", "CSS", 0, 43, 0, 2, 7, 52
"c:\Code\2024\blank_app\src\styles\globals.css", "CSS", 0, 23, 0, 2, 6, 31
"c:\Code\2024\blank_app\src\types\types.d.ts", "TypeScript", 8, 0, 0, 1, 3, 12
"c:\Code\2024\blank_app\src\utils\api\apiClient.ts", "TypeScript", 102, 0, 0, 8, 22, 132
"c:\Code\2024\blank_app\src\utils\filesUtil.ts", "TypeScript", 80, 0, 0, 0, 11, 91
"c:\Code\2024\blank_app\src\utils\firebaseClient.ts", "TypeScript", 7, 0, 0, 0, 3, 10
"c:\Code\2024\blank_app\src\utils\getTranslatedText.ts", "TypeScript", 11, 0, 0, 0, 2, 13
"c:\Code\2024\blank_app\src\utils\roleUtils.ts", "TypeScript", 16, 0, 0, 6, 4, 26
"c:\Code\2024\blank_app\src\utils\server\handleError.ts", "TypeScript", 5, 0, 0, 0, 2, 7
"c:\Code\2024\blank_app\src\utils\server\sendPaymentEmail.ts", "TypeScript", 26, 0, 0, 0, 5, 31
"Total", "-", 7311, 160, 11587, 231, 2307, 21596